iterations, matrix_dim, etime, flops, cores
3376, 1024, 0.531623, 33294200739.998085, 2
3376, 1024, 0.539207, 32825914500.368134, 2
3376, 1024, 0.527912, 33528245010.532063, 2
3376, 1024, 0.512599, 34529842781.589508, 2
3376, 1024, 0.531246, 33317828049.528843, 2
3376, 1024, 0.524228, 33763863967.586620, 2
3376, 1024, 0.528304, 33503367152.245678, 2
3376, 1024, 0.517364, 34211817753.071342, 2
3376, 1024, 0.525764, 33665224092.939037, 2
3376, 1024, 0.539302, 32820132096.673111, 2
3376, 1024, 0.541317, 32697962339.996716, 2
3376, 1024, 0.517455, 34205801238.755062, 2
3376, 1024, 0.516071, 34297534409.025120, 2
3376, 1024, 0.534916, 33089238085.979858, 2
3376, 1024, 0.523832, 33789388353.517925, 2
3376, 1024, 0.526737, 33603036961.519695, 2
3376, 1024, 0.525179, 33702723985.536362, 2
3376, 1024, 0.542753, 32611451028.368340, 2
3376, 1024, 0.518375, 34145093571.256329, 2
3376, 1024, 0.517334, 34213801683.245255, 2
3376, 1024, 0.532790, 33221274573.471725, 2
3376, 1024, 0.535741, 33038283200.277744, 2
3376, 1024, 0.523577, 33805844947.352543, 2
3376, 1024, 0.525644, 33672909573.779972, 2
3376, 1024, 0.528338, 33501211118.639965, 2
3376, 1024, 0.524834, 33724878494.914581, 2
3376, 1024, 0.541216, 32704064329.214211, 2
3376, 1024, 0.539785, 32790764619.246555, 2
3376, 1024, 0.555421, 31867651529.200375, 2
3376, 1024, 0.532102, 33264229189.140430, 2
3376, 1024, 0.520936, 33977231137.798119, 2
3376, 1024, 0.523120, 33835377886.526989, 2
3376, 1024, 0.523214, 33829299063.098469, 2
3376, 1024, 0.525172, 33703173208.015663, 2
3376, 1024, 0.519617, 34063479216.422867, 2
3376, 1024, 0.527334, 33564994633.382259, 2
3376, 1024, 0.527355, 33563658029.221302, 2
3376, 1024, 0.532223, 33256666622.825394, 2
3376, 1024, 0.536657, 32981891375.683167, 2
3376, 1024, 0.530490, 33365309204.697544, 2
3376, 1024, 0.515567, 34331062461.328983, 2
3376, 1024, 0.521878, 33915901570.865223, 2
3376, 1024, 0.528901, 33465550036.774372, 2
3376, 1024, 0.533661, 33167053391.572556, 2
3376, 1024, 0.527301, 33567095226.445614, 2
3376, 1024, 0.530433, 33368894620.055695, 2
3376, 1024, 0.557834, 31729802916.279758, 2
3376, 1024, 0.533236, 33193488211.598621, 2
3376, 1024, 0.528195, 33510281013.640797, 2
3376, 1024, 0.529591, 33421948031.594196, 2
3376, 1024, 0.544088, 32531434032.730000, 2
3376, 1024, 0.531301, 33314379005.497822, 2
3376, 1024, 0.532829, 33218842968.381977, 2
3376, 1024, 0.536275, 33005385072.956974, 2
3376, 1024, 0.534424, 33119700612.247952, 2
3376, 1024, 0.548866, 32248240699.915829, 2
3376, 1024, 0.545123, 32469668093.256016, 2
3376, 1024, 0.525762, 33665352155.538059, 2
3376, 1024, 0.534914, 33089361803.953533, 2
3376, 1024, 0.534931, 33088310230.665268, 2
3488, 2048, 1.618012, 45208973579.924004, 2
3488, 2048, 1.607529, 45503789828.985977, 2
3488, 2048, 1.616408, 45253835516.775467, 2
3488, 2048, 1.600136, 45714027907.627853, 2
3488, 2048, 1.616455, 45252519717.530029, 2
3488, 2048, 1.604204, 45598104580.215485, 2
3488, 2048, 1.618550, 45193946285.255325, 2
3488, 2048, 1.585833, 46126333453.774765, 2
3488, 2048, 1.631816, 44826537893.978241, 2
3488, 2048, 1.617314, 45228484858.227905, 2
3544, 4096, 5.941111, 50039843982.043091, 2
3544, 4096, 5.879746, 50562093587.035904, 2
3544, 4096, 5.887581, 50494807208.597214, 2
3544, 4096, 5.885230, 50514978602.365585, 2
3544, 4096, 5.901421, 50376386893.936226, 2
3544, 4096, 5.882637, 50537245034.837265, 2
3544, 4096, 5.890589, 50469022286.226387, 2
3544, 4096, 5.880460, 50555954384.520935, 2
3544, 4096, 5.962246, 49862462488.129471, 2
3544, 4096, 5.911193, 50293107925.929672, 2
3573, 8192, 23.018703, 52083727539.297073, 2
3573, 8192, 22.946383, 52247879561.672096, 2
3573, 8192, 22.926314, 52293615770.943375, 2
3573, 8192, 22.948767, 52242451865.060982, 2
3573, 8192, 23.051545, 52009522804.653656, 2
3573, 8192, 23.013298, 52095960142.696632, 2
3573, 8192, 23.031685, 52054370114.909096, 2
3573, 8192, 22.970310, 52193455611.178078, 2
3573, 8192, 22.907199, 52337252379.044685, 2
3573, 8192, 22.909800, 52331310415.629990, 2
3588, 16384, 91.704099, 52513814901.992546, 2
3588, 16384, 91.693435, 52519922289.311119, 2
3588, 16384, 91.800629, 52458595688.271370, 2
3588, 16384, 91.442521, 52664034499.223839, 2
3588, 16384, 91.535304, 52610652613.771843, 2
3588, 16384, 91.927018, 52386471196.531143, 2
3588, 16384, 91.346519, 52719382559.503990, 2
3588, 16384, 91.501353, 52630173464.648117, 2
3588, 16384, 91.377600, 52701450690.760101, 2
3588, 16384, 91.479943, 52642491050.087334, 2
